Threads,Execution Time (ms),Parallel Efficiency,Speedup Rate,Performance,Vector Data
1,546657,1,1,967.013,0.970419,0.999532,18 20 33 30 42 32 7 37 34 0 13 17 43 34 30 38 19 26 3 20 2 19 1 28 28 0 9 26 34 30 4 14 41 36 34 30 35 20 0 13 34 0 21 20 2 6 33 6 31 30 31 23 0 38 22 20 2 14 20 0 12 7 37 34 34 0 11 0 39 29 30 24 25 2 12 40 18 40 10 0 4 17 2 21 41 32 7 37 30 15 16 20 2 18 33 19 24 42 1 7 28 20 2 7 20 33 34 30 9 6 8 5 32 28 20 33 18 39 33 14 15 2 13 27 2 35 8 
2,444212,0.62,1.23,945.49,0.949257,0.999471,39 11 25 26 11 37 29 5 22 23 17 17 16 10 8 34 30 11 8 25 23 43 5 15 2 21 11 37 10 8 4 17 24 11 19 10 5 11 25 13 5 15 32 8 12 36 21 8 22 17 17 21 42 28 28 8 12 14 17 30 24 25 7 38 17 17 30 11 37 12 5 22 35 17 30 10 10 5 15 11 15 31 37 26 20 17 17 3 11 25 33 17 3 24 5 15 7 5 39 1 24 25 41 11 37 1 8 22 18 37 13 40 24 11 25 25 2 6 10 8 9 37 0 27 11 25 0 
4,249544,0.55,2.19,954.205,0.957693,0.999515,22 16 16 8 23 36 9 1 11 17 41 24 6 36 41 27 16 0 26 41 21 14 37 13 39 16 33 5 23 36 41 9 18 30 32 9 37 1 31 19 9 18 10 11 21 40 9 31 13 42 8 33 1 37 20 1 11 24 9 31 15 1 37 21 1 37 12 36 9 4 16 16 32 1 11 2 36 11 34 16 16 23 36 41 38 41 24 3 37 30 43 41 22 28 36 11 18 16 26 36 16 16 0 1 11 2 11 15 7 16 32 1 36 9 31 36 41 25 37 10 29 11 19 35 32 1 11 
6,142523,0.64,3.84,965.424,0.96864,0.999558,23 10 11 24 7 7 25 35 36 4 19 30 26 34 41 5 34 33 28 35 40 2 9 12 12 23 5 20 42 31 31 1 35 30 19 30 21 31 7 1 36 24 37 30 4 8 40 0 13 19 30 11 35 23 18 35 23 6 12 1 35 23 28 15 35 23 17 3 29 43 19 34 40 10 21 38 31 12 19 19 30 16 30 2 14 34 3 39 30 18 32 25 34 23 42 7 7 30 6 27 19 10 3 1 19 10 12 19 34 19 10 41 41 38 22 10 17 29 34 26 0 19 10 36 19 10 33 
8,148421,0.46,3.68,941.026,0.943057,0.999713,27 10 36 11 9 33 26 15 17 28 29 25 8 29 10 7 42 34 18 29 15 36 29 15 39 29 25 20 41 29 19 23 29 15 10 36 35 5 18 40 19 6 38 9 33 13 29 9 25 25 13 43 9 33 14 5 5 32 41 29 10 9 25 21 9 33 17 29 10 4 5 34 24 5 23 19 29 19 33 19 6 7 29 19 37 15 14 16 34 9 9 10 6 0 27 1 2 5 5 12 29 10 6 5 12 40 10 36 31 29 25 1 29 10 22 19 6 30 29 15 3 5 34 41 5 34 23 
10,111508,0.49,4.90,964.704,0.96842,0.999489,15 15 8 7 18 35 33 1 10 12 33 10 5 22 24 27 33 15 40 24 16 38 34 23 39 22 2 14 13 18 20 35 22 15 42 13 18 1 10 37 42 18 9 32 12 23 1 22 34 32 40 17 10 21 25 11 9 9 33 34 31 13 18 35 33 15 19 20 1 32 32 3 36 1 32 29 10 19 28 15 27 0 22 29 8 10 31 30 1 32 2 10 4 26 22 41 4 35 33 10 9 1 22 1 32 41 13 9 1 32 5 16 1 10 3 2 17 43 41 36 6 33 15 21 1 32 24 
12,153055,0.30,3.57,925.468,0.927415,0.99972,12 38 15 17 30 31 33 7 24 36 7 24 22 20 7 24 38 4 27 7 0 37 33 38 14 14 18 16 15 18 40 15 18 32 38 14 19 20 14 11 38 4 5 23 38 15 23 7 4 14 18 34 38 4 3 14 0 36 38 15 29 39 35 38 38 4 13 14 18 29 30 25 20 20 14 0 30 31 1 15 18 10 7 24 2 4 18 41 38 12 21 42 1 31 30 30 39 15 18 28 30 35 23 14 17 26 30 33 20 7 24 6 14 9 8 33 35 7 30 30 25 18 41 30 4 18 43 
14,161231,0.24,3.39,953.563,0.957452,0.999459,9 28 40 7 22 8 6 8 15 13 28 0 22 35 41 20 16 34 43 22 35 23 28 3 3 7 36 35 3 8 31 35 27 38 35 30 5 37 35 25 24 12 17 28 28 0 36 35 12 22 8 6 8 25 21 36 16 41 8 33 34 35 19 11 8 29 10 28 7 36 22 8 33 3 8 9 8 35 29 28 28 14 36 16 18 42 40 32 8 16 27 8 16 19 3 8 1 28 28 40 22 35 39 8 39 2 3 36 16 0 8 37 0 22 24 35 18 4 36 35 15 28 28 26 8 16 30 
16,161609,0.21,3.38,938.638,0.941477,0.999598,28 11 7 24 39 34 36 11 34 23 17 7 13 39 11 32 22 19 19 22 26 37 11 34 20 34 36 38 34 1 8 34 36 16 27 37 17 11 34 18 17 7 33 34 1 40 34 33 31 34 25 29 26 11 4 11 7 0 22 22 35 11 34 1 34 1 30 42 19 5 11 34 40 17 7 3 17 7 14 22 6 39 22 22 26 11 34 2 34 3 15 34 28 9 7 21 41 26 17 20 34 7 21 27 17 7 22 22 27 11 7 25 22 27 11 34 36 10 22 26 37 11 34 12 7 30 43 
18,127088,0.24,4.30,964.162,0.967254,0.999574,0 40 8 34 8 23 10 15 0 18 20 4 40 6 36 3 38 18 9 42 36 36 22 10 27 3 33 38 14 32 17 38 24 41 14 35 37 8 16 1 33 14 2 40 8 0 3 40 8 33 14 23 14 26 11 15 34 32 40 38 28 42 36 36 8 28 12 40 8 31 33 14 24 33 14 13 33 38 16 15 31 35 19 41 43 40 38 25 34 1 7 20 36 4 40 38 19 15 22 26 4 40 15 40 8 22 8 19 21 20 30 30 0 21 29 40 15 14 38 2 5 30 3 33 38 13 39 
20,178818,0.15,3.06,956.566,0.960911,0.999397,25 1 6 23 41 19 35 15 30 24 25 17 43 8 8 41 1 6 0 19 35 22 30 13 3 42 36 21 37 24 10 37 5 11 37 0 32 19 1 31 1 33 17 8 8 34 8 38 1 35 2 9 35 27 28 15 30 2 34 38 15 35 18 16 8 8 36 19 35 39 1 6 40 1 30 5 19 1 12 15 37 18 19 37 26 35 27 20 19 37 33 38 1 6 19 35 22 30 40 7 15 37 27 8 8 4 38 1 37 8 8 14 38 1 30 8 41 19 19 35 29 1 39 13 8 34 38 
